id,vehicle_no,odometer,latitude,longitude,speed,distance,car_battery_voltage,dev_battery_voltage,create_date_time,beacon_date_time,source_id,distance_to_target
98144210,MH14KU9028,3529.4358,18.4748025,73.88832633333334,0.05,0.13953184,52.4175,4.0028,2025-01-01 15:58:14.000,2025-01-01 15:57:32.576,1,7043.251933028644
98144217,MH14LX0059,4062.4397,18.48196083333333,73.94190683333333,0.22,0.39695546,51.7186,3.6466,2025-01-01 15:58:14.000,2025-01-01 15:57:50.892,1,5764.632163599793
98144553,MH14LX0065,3791.0154,18.5313135,73.92870416666666,0.34,1.3546644,50.7305,3.6525,2025-01-01 15:59:14.000,2025-01-01 15:58:44.156,1,800.4006379514498
98144574,MH14LL2853,2985.9119,18.467944666666668,73.85767266666667,2.81,40.505802,51.6463,3.9981,2025-01-01 15:59:14.000,2025-01-01 15:58:58.868,1,9615.336388239011
98144598,MH14KU9028,3529.4385,18.47482083333333,73.88832033333334,0.48,0.14226061,52.2247,4.0016,2025-01-01 15:59:14.000,2025-01-01 15:58:32.576,1,7041.799229770254
98144937,MH14LL2859,2598.1597,18.531980333333333,73.91659416666667,0.53,2.011924,51.9837,4.0157,2025-01-01 16:00:15.000,2025-01-01 15:59:19.478,1,528.5243010156919
98144941,MH14LL2853,2985.9907,18.468435166666666,73.85804616666667,7.95,40.5849,51.9596,3.9993,2025-01-01 16:00:15.000,2025-01-01 15:59:58.868,1,9548.924791799123
98144965,MH14KU9028,3529.4436,18.474833333333333,73.88830183333333,0.56,0.14727047,52.1042,4.0016,2025-01-01 16:00:15.000,2025-01-01 15:59:32.576,1,7041.5600141044815
98145345,MH14LL2853,2986.298,18.4689705,73.86089416666667,13.95,40.892014,51.4053,3.9993,2025-01-01 16:01:15.000,2025-01-01 16:00:58.868,1,9298.022188273493
98145689,MH14LL2853,2986.5955,18.469113,73.8637075,16.75,41.18942,51.3089,3.9993,2025-01-01 16:02:15.000,2025-01-01 16:01:58.868,1,9085.299054937304
98146070,MH14LL2853,2986.828,18.471171666666667,73.863547,0.6,41.421932,51.6463,3.9981,2025-01-01 16:03:15.000,2025-01-01 16:02:58.868,1,8928.66339354267
98146456,MH14LL2853,2986.9434,18.472100166666667,73.8632155,22.28,41.537003,50.7305,4.0005,2025-01-01 16:04:16.000,2025-01-01 16:03:58.868,1,8877.896955717844
98146460,MH14LL2858,2519.4736,18.531598666666667,73.92949216666666,1.85,3.6586664,52.056,4.0028,2025-01-01 16:04:16.000,2025-01-01 16:03:27.106,1,887.7549110909149
98146818,MH14LL2853,2987.2764,18.4749865,73.86242383333334,0.78,41.869987,51.4053,3.9993,2025-01-01 16:05:15.000,2025-01-01 16:04:58.868,1,8708.825679953501
